"MONATSZAHL","AUSPRAEGUNG","JAHR","MONAT","WERT","VORJAHRESWERT","VERAEND_VORMONAT_PROZENT","VERAEND_VORJAHRESMONAT_PROZENT","ZWOELF_MONATE_MITTELWERT"
"Alkoholunfälle","Verletzte und Getötete",2017,"201703",15,6,275,150,13
"Alkoholunfälle","Verletzte und Getötete",2017,"201704",10,8,-33.33,25,13
"Alkoholunfälle","Verletzte und Getötete",2017,"201705",16,17,60,-5.88,13
"Alkoholunfälle","Verletzte und Getötete",2017,"201706",27,19,68.75,42.11,13
"Alkoholunfälle","Verletzte und Getötete",2017,"201707",18,23,-33.33,-21.74,13
"Alkoholunfälle","Verletzte und Getötete",2017,"201708",14,12,-22.22,16.67,13
"Alkoholunfälle","Verletzte und Getötete",2017,"201709",22,22,57.14,0,13
"Alkoholunfälle","Verletzte und Getötete",2017,"201710",16,11,-27.27,45.45,14
"Alkoholunfälle","Verletzte und Getötete",2017,"201711",13,7,-18.75,85.71,14
"Alkoholunfälle","Verletzte und Getötete",2017,"201712",17,10,30.77,70,15
"Alkoholunfälle","Verletzte und Getötete",2016,"201601",6,21,0,-71.43,18
"Alkoholunfälle","Verletzte und Getötete",2016,"201602",3,3,-50,0,18
"Alkoholunfälle","Verletzte und Getötete",2016,"201603",6,9,100,-33.33,17
"Alkoholunfälle","Verletzte und Getötete",2016,"201604",8,23,33.33,-65.22,16
"Alkoholunfälle","Verletzte und Getötete",2016,"201605",17,30,112.5,-43.33,15
"Alkoholunfälle","Verletzte und Getötete",2016,"201606",19,19,11.76,0,15
"Alkoholunfälle","Verletzte und Getötete",2016,"201607",23,37,21.05,-37.84,14
"Alkoholunfälle","Verletzte und Getötete",2016,"201608",12,29,-47.83,-58.62,12
"Alkoholunfälle","Verletzte und Getötete",2016,"201609",22,25,83.33,-12,12
"Alkoholunfälle","Verletzte und Getötete",2016,"201610",11,12,-50,-8.33,12
"Alkoholunfälle","Verletzte und Getötete",2016,"201611",7,11,-36.36,-36.36,12
"Alkoholunfälle","Verletzte und Getötete",2016,"201612",10,6,42.86,66.67,12
"Alkoholunfälle","Verletzte und Getötete",2015,"201501",21,4,600,425,15
"Alkoholunfälle","Verletzte und Getötete",2015,"201502",3,7,-85.71,-57.14,15
"Alkoholunfälle","Verletzte und Getötete",2015,"201503",9,16,200,-43.75,14
"Alkoholunfälle","Verletzte und Getötete",2015,"201504",23,15,155.56,53.33,15
"Alkoholunfälle","Verletzte und Getötete",2015,"201505",30,19,30.43,57.89,16
"Alkoholunfälle","Verletzte und Getötete",2015,"201506",19,16,-36.67,18.75,16
"Alkoholunfälle","Verletzte und Getötete",2015,"201507",37,21,94.74,76.19,18
"Alkoholunfälle","Verletzte und Getötete",2015,"201508",29,13,-21.62,123.08,19
"Alkoholunfälle","Verletzte und Getötete",2015,"201509",25,18,-13.79,38.89,20
"Alkoholunfälle","Verletzte und Getötete",2015,"201510",12,21,-52,-42.86,19
"Alkoholunfälle","Verletzte und Getötete",2015,"201511",11,14,-8.33,-21.43,19
"Alkoholunfälle","Verletzte und Getötete",2015,"201512",6,3,-45.45,100,19
"Alkoholunfälle","Verletzte und Getötete",2014,"201401",4,2,-60,100,13
"Alkoholunfälle","Verletzte und Getötete",2014,"201402",7,0,75,,14
"Alkoholunfälle","Verletzte und Getötete",2014,"201403",16,8,128.57,100,14
"Alkoholunfälle","Verletzte und Getötete",2014,"201404",15,5,-6.25,200,15
"Alkoholunfälle","Verletzte und Getötete",2014,"201405",19,21,26.67,-9.52,15
"Alkoholunfälle","Verletzte und Getötete",2014,"201406",16,20,-15.79,-20,15
"Alkoholunfälle","Verletzte und Getötete",2014,"201407",21,24,31.25,-12.5,14
"Alkoholunfälle","Verletzte und Getötete",2014,"201408",13,22,-38.1,-40.91,14
"Alkoholunfälle","Verletzte und Getötete",2014,"201409",18,17,38.46,5.88,14
"Alkoholunfälle","Verletzte und Getötete",2014,"201410",21,12,16.67,75,14
"Alkoholunfälle","Verletzte und Getötete",2014,"201411",14,12,-33.33,16.67,15
"Alkoholunfälle","Verletzte und Getötete",2014,"201412",3,10,-78.57,-70,14
"Alkoholunfälle","Verletzte und Getötete",2013,"201301",2,11,-81.82,-81.82,18
"Alkoholunfälle","Verletzte und Getötete",2013,"201302",0,5,-100,-100,17
"Alkoholunfälle","Verletzte und Getötete",2013,"201303",8,5,,60,18
"Alkoholunfälle","Verletzte und Getötete",2013,"201304",5,22,-37.5,-77.27,16
"Alkoholunfälle","Verletzte und Getötete",2013,"201305",21,33,320,-36.36,15
"Alkoholunfälle","Verletzte und Getötete",2013,"201306",20,35,-4.76,-42.86,14
"Alkoholunfälle","Verletzte und Getötete",2013,"201307",24,30,20,-20,14
"Alkoholunfälle","Verletzte und Getötete",2013,"201308",22,31,-8.33,-29.03,13
"Alkoholunfälle","Verletzte und Getötete",2013,"201309",17,24,-22.73,-29.17,12
"Alkoholunfälle","Verletzte und Getötete",2013,"201310",12,6,-29.41,100,13
"Alkoholunfälle","Verletzte und Getötete",2013,"201311",12,10,0,20,13
"Alkoholunfälle","Verletzte und Getötete",2013,"201312",10,11,-16.67,-9.09,13
"Alkoholunfälle","Verletzte und Getötete",2012,"201201",11,16,83.33,-31.25,16
"Alkoholunfälle","Verletzte und Getötete",2012,"201202",5,7,-54.55,-28.57,16
"Alkoholunfälle","Verletzte und Getötete",2012,"201203",5,9,0,-44.44,16
"Alkoholunfälle","Verletzte und Getötete",2012,"201204",22,27,340,-18.52,15
"Alkoholunfälle","Verletzte und Getötete",2012,"201205",33,20,50,65,16
"Alkoholunfälle","Verletzte und Getötete",2012,"201206",35,21,6.06,66.67,17
"Alkoholunfälle","Verletzte und Getötete",2012,"201207",30,27,-14.29,11.11,18
"Alkoholunfälle","Verletzte und Getötete",2012,"201208",31,17,3.33,82.35,19
"Alkoholunfälle","Verletzte und Getötete",2012,"201209",24,22,-22.58,9.09,19
"Alkoholunfälle","Verletzte und Getötete",2012,"201210",6,10,-75,-40,19
"Alkoholunfälle","Verletzte und Getötete",2012,"201211",10,16,66.67,-37.5,18
"Alkoholunfälle","Verletzte und Getötete",2012,"201212",11,6,10,83.33,19
"Alkoholunfälle","Verletzte und Getötete",2011,"201101",16,7,33.33,128.57,18
"Alkoholunfälle","Verletzte und Getötete",2011,"201102",7,10,-56.25,-30,17
"Alkoholunfälle","Verletzte und Getötete",2011,"201103",9,12,28.57,-25,17
"Alkoholunfälle","Verletzte und Getötete",2011,"201104",27,25,200,8,17
"Alkoholunfälle","Verletzte und Getötete",2011,"201105",20,15,-25.93,33.33,18
"Alkoholunfälle","Verletzte und Getötete",2011,"201106",21,20,5,5,18
"Alkoholunfälle","Verletzte und Getötete",2011,"201107",27,29,28.57,-6.9,18
"Alkoholunfälle","Verletzte und Getötete",2011,"201108",17,25,-37.04,-32,17
"Alkoholunfälle","Verletzte und Getötete",2011,"201109",22,26,29.41,-15.38,17
"Alkoholunfälle","Verletzte und Getötete",2011,"201110",10,13,-54.55,-23.08,16
"Alkoholunfälle","Verletzte und Getötete",2011,"201111",16,7,60,128.57,17
"Alkoholunfälle","Verletzte und Getötete",2011,"201112",6,12,-62.5,-50,17
"Alkoholunfälle","Verletzte und Getötete",2010,"201001",7,7,-50,0,18
"Alkoholunfälle","Verletzte und Getötete",2010,"201002",10,12,42.86,-16.67,18
"Alkoholunfälle","Verletzte und Getötete",2010,"201003",12,5,20,140,18
"Alkoholunfälle","Verletzte und Getötete",2010,"201004",25,31,108.33,-19.35,18
"Alkoholunfälle","Verletzte und Getötete",2010,"201005",15,34,-40,-55.88,16
"Alkoholunfälle","Verletzte und Getötete",2010,"201006",20,19,33.33,5.26,16
"Alkoholunfälle","Verletzte und Getötete",2010,"201007",29,27,45,7.41,16
"Alkoholunfälle","Verletzte und Getötete",2010,"201008",25,26,-13.79,-3.85,16
"Alkoholunfälle","Verletzte und Getötete",2010,"201009",26,18,4,44.44,17
"Alkoholunfälle","Verletzte und Getötete",2010,"201010",13,15,-50,-13.33,17
"Alkoholunfälle","Verletzte und Getötete",2010,"201011",7,5,-46.15,40,17
"Alkoholunfälle","Verletzte und Getötete",2010,"201012",12,14,71.43,-14.29,17
"Alkoholunfälle","Verletzte und Getötete",2009,"200901",7,8,-65,-12.5,20
"Alkoholunfälle","Verletzte und Getötete",2009,"200902",12,16,71.43,-25,20
"Alkoholunfälle","Verletzte und Getötete",2009,"200903",5,9,-58.33,-44.44,19
"Alkoholunfälle","Verletzte und Getötete",2009,"200904",31,10,520,210,21
"Alkoholunfälle","Verletzte und Getötete",2009,"200905",34,37,9.68,-8.11,21
"Alkoholunfälle","Verletzte und Getötete",2009,"200906",19,32,-44.12,-40.63,20
"Alkoholunfälle","Verletzte und Getötete",2009,"200907",27,24,42.11,12.5,20
"Alkoholunfälle","Verletzte und Getötete",2009,"200908",26,23,-3.7,13.04,20
"Alkoholunfälle","Verletzte und Getötete",2009,"200909",18,28,-30.77,-35.71,19
"Alkoholunfälle","Verletzte und Getötete",2009,"200910",15,19,-16.67,-21.05,19
"Alkoholunfälle","Verletzte und Getötete",2009,"200911",5,14,-66.67,-64.29,18
"Alkoholunfälle","Verletzte und Getötete",2009,"200912",14,20,180,-30,18
"Alkoholunfälle","Verletzte und Getötete",2008,"200801",8,13,-60,-38.46,23
"Alkoholunfälle","Verletzte und Getötete",2008,"200802",16,15,100,6.67,23
"Alkoholunfälle","Verletzte und Getötete",2008,"200803",9,14,-43.75,-35.71,23
"Alkoholunfälle","Verletzte und Getötete",2008,"200804",10,27,11.11,-62.96,21
"Alkoholunfälle","Verletzte und Getötete",2008,"200805",37,39,270,-5.13,21
"Alkoholunfälle","Verletzte und Getötete",2008,"200806",32,27,-13.51,18.52,22
"Alkoholunfälle","Verletzte und Getötete",2008,"200807",24,38,-25,-36.84,20
"Alkoholunfälle","Verletzte und Getötete",2008,"200808",23,20,-4.17,15,21
"Alkoholunfälle","Verletzte und Getötete",2008,"200809",28,24,21.74,16.67,21
"Alkoholunfälle","Verletzte und Getötete",2008,"200810",19,18,-32.14,5.56,21
"Alkoholunfälle","Verletzte und Getötete",2008,"200811",14,26,-26.32,-46.15,20
"Alkoholunfälle","Verletzte und Getötete",2008,"200812",20,20,42.86,0,20
"Alkoholunfälle","Verletzte und Getötete",2007,"200701",13,21,-38.1,-38.1,23
"Alkoholunfälle","Verletzte und Getötete",2007,"200702",15,21,15.38,-28.57,23
"Alkoholunfälle","Verletzte und Getötete",2007,"200703",14,14,-6.67,0,23
"Alkoholunfälle","Verletzte und Getötete",2007,"200704",27,16,92.86,68.75,24
"Alkoholunfälle","Verletzte und Getötete",2007,"200705",39,28,44.44,39.29,25
"Alkoholunfälle","Verletzte und Getötete",2007,"200706",27,22,-30.77,22.73,25
"Alkoholunfälle","Verletzte und Getötete",2007,"200707",38,37,40.74,2.7,25
"Alkoholunfälle","Verletzte und Getötete",2007,"200708",20,25,-47.37,-20,25
"Alkoholunfälle","Verletzte und Getötete",2007,"200709",24,35,20,-31.43,24
"Alkoholunfälle","Verletzte und Getötete",2007,"200710",18,24,-25,-25,23
"Alkoholunfälle","Verletzte und Getötete",2007,"200711",26,22,44.44,18.18,24
"Alkoholunfälle","Verletzte und Getötete",2007,"200712",20,21,-23.08,-4.76,23
"Alkoholunfälle","Verletzte und Getötete",2006,"200601",21,13,75,61.54,24
"Alkoholunfälle","Verletzte und Getötete",2006,"200602",21,14,0,50,25
"Alkoholunfälle","Verletzte und Getötete",2006,"200603",14,13,-33.33,7.69,25
"Alkoholunfälle","Verletzte und Getötete",2006,"200604",16,19,14.29,-15.79,25
"Alkoholunfälle","Verletzte und Getötete",2006,"200605",28,21,75,33.33,25
"Alkoholunfälle","Verletzte und Getötete",2006,"200606",22,31,-21.43,-29.03,24
"Alkoholunfälle","Verletzte und Getötete",2006,"200607",37,26,68.18,42.31,25
"Alkoholunfälle","Verletzte und Getötete",2006,"200608",25,33,-32.43,-24.24,25
"Alkoholunfälle","Verletzte und Getötete",2006,"200609",35,50,40,-30,23
"Alkoholunfälle","Verletzte und Getötete",2006,"200610",24,35,-31.43,-31.43,22
"Alkoholunfälle","Verletzte und Getötete",2006,"200611",22,14,-8.33,57.14,23
"Alkoholunfälle","Verletzte und Getötete",2006,"200612",21,12,-4.55,75,24
"Alkoholunfälle","Verletzte und Getötete",2005,"200501",13,10,8.33,30,26
"Alkoholunfälle","Verletzte und Getötete",2005,"200502",14,21,7.69,-33.33,25
"Alkoholunfälle","Verletzte und Getötete",2005,"200503",13,18,-7.14,-27.78,25
"Alkoholunfälle","Verletzte und Getötete",2005,"200504",19,10,46.15,90,25
"Alkoholunfälle","Verletzte und Getötete",2005,"200505",21,30,10.53,-30,25
"Alkoholunfälle","Verletzte und Getötete",2005,"200506",31,25,47.62,24,25
"Alkoholunfälle","Verletzte und Getötete",2005,"200507",26,44,-16.13,-40.91,24
"Alkoholunfälle","Verletzte und Getötete",2005,"200508",33,47,26.92,-29.79,22
"Alkoholunfälle","Verletzte und Getötete",2005,"200509",50,41,51.52,21.95,23
"Alkoholunfälle","Verletzte und Getötete",2005,"200510",35,26,-30,34.62,24
"Alkoholunfälle","Verletzte und Getötete",2005,"200511",14,20,-60,-30,23
"Alkoholunfälle","Verletzte und Getötete",2005,"200512",12,12,-14.29,0,23
"Alkoholunfälle","Verletzte und Getötete",2004,"200401",10,18,-62.96,-44.44,26
"Alkoholunfälle","Verletzte und Getötete",2004,"200402",21,16,110,31.25,26
"Alkoholunfälle","Verletzte und Getötete",2004,"200403",18,17,-14.29,5.88,26
"Alkoholunfälle","Verletzte und Getötete",2004,"200404",10,25,-44.44,-60,25
"Alkoholunfälle","Verletzte und Getötete",2004,"200405",30,26,200,15.38,26
"Alkoholunfälle","Verletzte und Getötete",2004,"200406",25,41,-16.67,-39.02,24
"Alkoholunfälle","Verletzte und Getötete",2004,"200407",44,35,76,25.71,25
"Alkoholunfälle","Verletzte und Getötete",2004,"200408",47,40,6.82,17.5,26
"Alkoholunfälle","Verletzte und Getötete",2004,"200409",41,26,-12.77,57.69,27
"Alkoholunfälle","Verletzte und Getötete",2004,"200410",26,17,-36.59,52.94,28
"Alkoholunfälle","Verletzte und Getötete",2004,"200411",20,31,-23.08,-35.48,27
"Alkoholunfälle","Verletzte und Getötete",2004,"200412",12,27,-40,-55.56,25
"Alkoholunfälle","Verletzte und Getötete",2003,"200301",18,24,-33.33,-25,31
"Alkoholunfälle","Verletzte und Getötete",2003,"200302",16,22,-11.11,-27.27,31
"Alkoholunfälle","Verletzte und Getötete",2003,"200303",17,21,6.25,-19.05,30
"Alkoholunfälle","Verletzte und Getötete",2003,"200304",25,28,47.06,-10.71,30
"Alkoholunfälle","Verletzte und Getötete",2003,"200305",26,32,4,-18.75,30
"Alkoholunfälle","Verletzte und Getötete",2003,"200306",41,42,57.69,-2.38,29
"Alkoholunfälle","Verletzte und Getötete",2003,"200307",35,40,-14.63,-12.5,29
"Alkoholunfälle","Verletzte und Getötete",2003,"200308",40,29,14.29,37.93,30
"Alkoholunfälle","Verletzte und Getötete",2003,"200309",26,51,-35,-49.02,28
"Alkoholunfälle","Verletzte und Getötete",2003,"200310",17,53,-34.62,-67.92,25
"Alkoholunfälle","Verletzte und Getötete",2003,"200311",31,10,82.35,210,27
"Alkoholunfälle","Verletzte und Getötete",2003,"200312",27,27,-12.9,0,27
"Alkoholunfälle","Verletzte und Getötete",2002,"200201",24,36,4.35,-33.33,32
"Alkoholunfälle","Verletzte und Getötete",2002,"200202",22,20,-8.33,10,32
"Alkoholunfälle","Verletzte und Getötete",2002,"200203",21,36,-4.55,-41.67,31
"Alkoholunfälle","Verletzte und Getötete",2002,"200204",28,32,33.33,-12.5,30
"Alkoholunfälle","Verletzte und Getötete",2002,"200205",32,32,14.29,0,30
"Alkoholunfälle","Verletzte und Getötete",2002,"200206",42,46,31.25,-8.7,30
"Alkoholunfälle","Verletzte und Getötete",2002,"200207",40,35,-4.76,14.29,30
"Alkoholunfälle","Verletzte und Getötete",2002,"200208",29,21,-27.5,38.1,31
"Alkoholunfälle","Verletzte und Getötete",2002,"200209",51,48,75.86,6.25,31
"Alkoholunfälle","Verletzte und Getötete",2002,"200210",53,37,3.92,43.24,33
"Alkoholunfälle","Verletzte und Getötete",2002,"200211",10,25,-81.13,-60,31
"Alkoholunfälle","Verletzte und Getötete",2002,"200212",27,23,170,17.39,32
"Alkoholunfälle","Verletzte und Getötete",2001,"200101",36,37,16.13,-2.7,31
"Alkoholunfälle","Verletzte und Getötete",2001,"200102",20,19,-44.44,5.26,31
"Alkoholunfälle","Verletzte und Getötete",2001,"200103",36,18,80,100,33
"Alkoholunfälle","Verletzte und Getötete",2001,"200104",32,26,-11.11,23.08,33
"Alkoholunfälle","Verletzte und Getötete",2001,"200105",32,44,0,-27.27,32
"Alkoholunfälle","Verletzte und Getötete",2001,"200106",46,32,43.75,43.75,34
"Alkoholunfälle","Verletzte und Getötete",2001,"200107",35,37,-23.91,-5.41,33
"Alkoholunfälle","Verletzte und Getötete",2001,"200108",21,32,-40,-34.38,32
"Alkoholunfälle","Verletzte und Getötete",2001,"200109",48,45,128.57,6.67,33
"Alkoholunfälle","Verletzte und Getötete",2001,"200110",37,31,-22.92,19.35,33
"Alkoholunfälle","Verletzte und Getötete",2001,"200111",25,24,-32.43,4.17,33
"Alkoholunfälle","Verletzte und Getötete",2001,"200112",23,31,-8,-25.81,33
"Alkoholunfälle","Verletzte und Getötete",2000,"200001",37,,,,37
"Alkoholunfälle","Verletzte und Getötete",2000,"200002",19,,-48.65,,28
"Alkoholunfälle","Verletzte und Getötete",2000,"200003",18,,-5.26,,25
"Alkoholunfälle","Verletzte und Getötete",2000,"200004",26,,44.44,,25
"Alkoholunfälle","Verletzte und Getötete",2000,"200005",44,,69.23,,29
"Alkoholunfälle","Verletzte und Getötete",2000,"200006",32,,-27.27,,29
"Alkoholunfälle","Verletzte und Getötete",2000,"200007",37,,15.63,,30
"Alkoholunfälle","Verletzte und Getötete",2000,"200008",32,,-13.51,,31
"Alkoholunfälle","Verletzte und Getötete",2000,"200009",45,,40.63,,32
"Alkoholunfälle","Verletzte und Getötete",2000,"200010",31,,-31.11,,32
"Alkoholunfälle","Verletzte und Getötete",2000,"200011",24,,-22.58,,31
"Alkoholunfälle","Verletzte und Getötete",2000,"200012",31,,29.17,,31
"Fluchtunfälle","insgesamt",2023,"202301",,,,,
"Fluchtunfälle","insgesamt",2023,"202302",,,,,
"Fluchtunfälle","insgesamt",2023,"202303",,,,,
"Fluchtunfälle","insgesamt",2023,"202304",,,,,
"Fluchtunfälle","insgesamt",2023,"202305",,,,,
"Fluchtunfälle","insgesamt",2023,"202306",,,,,
"Fluchtunfälle","insgesamt",2023,"202307",,,,,
"Fluchtunfälle","insgesamt",2023,"202308",,,,,
"Fluchtunfälle","insgesamt",2023,"202309",,,,,
"Fluchtunfälle","insgesamt",2023,"202310",,,,,
"Fluchtunfälle","insgesamt",2023,"202311",,,,,
"Fluchtunfälle","insgesamt",2023,"202312",,,,,
"Fluchtunfälle","insgesamt",2022,"202201",,521,,,
"Fluchtunfälle","insgesamt",2022,"202202",,602,,,
"Fluchtunfälle","insgesamt",2022,"202203",,801,,,
"Fluchtunfälle","insgesamt",2022,"202204",,716,,,
"Fluchtunfälle","insgesamt",2022,"202205",,865,,,
"Fluchtunfälle","insgesamt",2022,"202206",,991,,,
"Fluchtunfälle","insgesamt",2022,"202207",,1027,,,
"Fluchtunfälle","insgesamt",2022,"202208",,715,,,
"Fluchtunfälle","insgesamt",2022,"202209",,951,,,
"Fluchtunfälle","insgesamt",2022,"202210",,1053,,,
"Fluchtunfälle","insgesamt",2022,"202211",,849,,,
"Fluchtunfälle","insgesamt",2022,"202212",,788,,,
"Fluchtunfälle","insgesamt",2021,"202101",521,791,-24.93,-34.13,813
"Fluchtunfälle","insgesamt",2021,"202102",602,870,15.55,-30.8,791
"Fluchtunfälle","insgesamt",2021,"202103",801,744,33.06,7.66,795
"Fluchtunfälle","insgesamt",2021,"202104",716,607,-10.61,17.96,804
"Fluchtunfälle","insgesamt",2021,"202105",865,859,20.81,0.7,805
"Fluchtunfälle","insgesamt",2021,"202106",991,905,14.57,9.5,812
"Fluchtunfälle","insgesamt",2021,"202107",1027,1010,3.63,1.68,813
"Fluchtunfälle","insgesamt",2021,"202108",715,735,-30.38,-2.72,812
"Fluchtunfälle","insgesamt",2021,"202109",951,948,33.01,0.32,812
"Fluchtunfälle","insgesamt",2021,"202110",1053,997,10.73,5.62,817
"Fluchtunfälle","insgesamt",2021,"202111",849,864,-19.37,-1.74,815
"Fluchtunfälle","insgesamt",2021,"202112",788,694,-7.18,13.54,823
"Fluchtunfälle","insgesamt",2020,"202001",791,927,-14.49,-14.67,970
"Fluchtunfälle","insgesamt",2020,"202002",870,883,9.99,-1.47,969
"Fluchtunfälle","insgesamt",2020,"202003",744,1005,-14.48,-25.97,947
"Fluchtunfälle","insgesamt",2020,"202004",607,967,-18.41,-37.23,917
"Fluchtunfälle","insgesamt",2020,"202005",859,1014,41.52,-15.29,904
"Fluchtunfälle","insgesamt",2020,"202006",905,994,5.36,-8.95,897
"Fluchtunfälle","insgesamt",2020,"202007",1010,1187,11.6,-14.91,882
"Fluchtunfälle","insgesamt",2020,"202008",735,820,-27.23,-10.37,875
"Fluchtunfälle","insgesamt",2020,"202009",948,996,28.98,-4.82,871
"Fluchtunfälle","insgesamt",2020,"202010",997,1088,5.17,-8.36,863
"Fluchtunfälle","insgesamt",2020,"202011",864,967,-13.34,-10.65,855
"Fluchtunfälle","insgesamt",2020,"202012",694,925,-19.68,-24.97,835
"Fluchtunfälle","insgesamt",2019,"201901",927,860,3,7.79,976
"Fluchtunfälle","insgesamt",2019,"201902",883,774,-4.75,14.08,985
"Fluchtunfälle","insgesamt",2019,"201903",1005,954,13.82,5.35,990
"Fluchtunfälle","insgesamt",2019,"201904",967,1010,-3.78,-4.26,986
"Fluchtunfälle","insgesamt",2019,"201905",1014,994,4.86,2.01,988
"Fluchtunfälle","insgesamt",2019,"201906",994,1034,-1.97,-3.87,984
"Fluchtunfälle","insgesamt",2019,"201907",1187,1151,19.42,3.13,987
"Fluchtunfälle","insgesamt",2019,"201908",820,813,-30.92,0.86,988
"Fluchtunfälle","insgesamt",2019,"201909",996,1102,21.46,-9.62,979
"Fluchtunfälle","insgesamt",2019,"201910",1088,1127,9.24,-3.46,976
"Fluchtunfälle","insgesamt",2019,"201911",967,929,-11.12,4.09,979
"Fluchtunfälle","insgesamt",2019,"201912",925,900,-4.34,2.78,981
"Fluchtunfälle","insgesamt",2018,"201801",860,690,-1.49,24.64,953
"Fluchtunfälle","insgesamt",2018,"201802",774,846,-10,-8.51,947
"Fluchtunfälle","insgesamt",2018,"201803",954,1060,23.26,-10,938
"Fluchtunfälle","insgesamt",2018,"201804",1010,895,5.87,12.85,948
"Fluchtunfälle","insgesamt",2018,"201805",994,1070,-1.58,-7.1,941
"Fluchtunfälle","insgesamt",2018,"201806",1034,948,4.02,9.07,948
"Fluchtunfälle","insgesamt",2018,"201807",1151,1064,11.32,8.18,956
"Fluchtunfälle","insgesamt",2018,"201808",813,831,-29.37,-2.17,954
"Fluchtunfälle","insgesamt",2018,"201809",1102,1009,35.55,9.22,962
"Fluchtunfälle","insgesamt",2018,"201810",1127,1052,2.27,7.13,968
"Fluchtunfälle","insgesamt",2018,"201811",929,925,-17.57,0.43,968
"Fluchtunfälle","insgesamt",2018,"201812",900,873,-3.12,3.09,971
"Fluchtunfälle","insgesamt",2017,"201701",690,777,-20.69,-11.2,924
"Fluchtunfälle","insgesamt",2017,"201702",846,775,22.61,9.16,930
"Fluchtunfälle","insgesamt",2017,"201703",1060,898,25.3,18.04,944
"Fluchtunfälle","insgesamt",2017,"201704",895,998,-15.57,-10.32,935
"Fluchtunfälle","insgesamt",2017,"201705",1070,850,19.55,25.88,954
"Fluchtunfälle","insgesamt",2017,"201706",948,1018,-11.4,-6.88,948
"Fluchtunfälle","insgesamt",2017,"201707",1064,1095,12.24,-2.83,945
"Fluchtunfälle","insgesamt",2017,"201708",831,958,-21.9,-13.26,935
"Fluchtunfälle","insgesamt",2017,"201709",1009,958,21.42,5.32,939
"Fluchtunfälle","insgesamt",2017,"201710",1052,1022,4.26,2.94,941
"Fluchtunfälle","insgesamt",2017,"201711",925,960,-12.07,-3.65,938
"Fluchtunfälle","insgesamt",2017,"201712",873,870,-5.62,0.34,939
"Fluchtunfälle","insgesamt",2016,"201601",777,781,-18.21,-0.51,946
"Fluchtunfälle","insgesamt",2016,"201602",775,713,-0.26,8.7,951
"Fluchtunfälle","insgesamt",2016,"201603",898,908,15.87,-1.1,951
"Fluchtunfälle","insgesamt",2016,"201604",998,966,11.14,3.31,953
"Fluchtunfälle","insgesamt",2016,"201605",850,940,-14.83,-9.57,946
"Fluchtunfälle","insgesamt",2016,"201606",1018,952,19.76,6.93,951
"Fluchtunfälle","insgesamt",2016,"201607",1095,1176,7.56,-6.89,944
"Fluchtunfälle","insgesamt",2016,"201608",958,864,-12.51,10.88,952
"Fluchtunfälle","insgesamt",2016,"201609",958,1007,0,-4.87,948
"Fluchtunfälle","insgesamt",2016,"201610",1022,1110,6.68,-7.93,941
"Fluchtunfälle","insgesamt",2016,"201611",960,991,-6.07,-3.13,938
"Fluchtunfälle","insgesamt",2016,"201612",870,950,-9.38,-8.42,932
"Fluchtunfälle","insgesamt",2015,"201501",781,778,-5.9,0.39,904
"Fluchtunfälle","insgesamt",2015,"201502",713,742,-8.71,-3.91,902
"Fluchtunfälle","insgesamt",2015,"201503",908,993,27.35,-8.56,895
"Fluchtunfälle","insgesamt",2015,"201504",966,946,6.39,2.11,896
"Fluchtunfälle","insgesamt",2015,"201505",940,925,-2.69,1.62,898
"Fluchtunfälle","insgesamt",2015,"201506",952,880,1.28,8.18,904
"Fluchtunfälle","insgesamt",2015,"201507",1176,1029,23.53,14.29,916
"Fluchtunfälle","insgesamt",2015,"201508",864,802,-26.53,7.73,921
"Fluchtunfälle","insgesamt",2015,"201509",1007,936,16.55,7.59,927
"Fluchtunfälle","insgesamt",2015,"201510",1110,1042,10.23,6.53,933
"Fluchtunfälle","insgesamt",2015,"201511",991,943,-10.72,5.09,937
"Fluchtunfälle","insgesamt",2015,"201512",950,830,-4.14,14.46,947
"Fluchtunfälle","insgesamt",2014,"201401",778,796,-6.04,-2.26,931
"Fluchtunfälle","insgesamt",2014,"201402",742,773,-4.63,-4.01,928
"Fluchtunfälle","insgesamt",2014,"201403",993,906,33.83,9.6,935
"Fluchtunfälle","insgesamt",2014,"201404",946,1038,-4.73,-8.86,928
"Fluchtunfälle","insgesamt",2014,"201405",925,848,-2.22,9.08,934
"Fluchtunfälle","insgesamt",2014,"201406",880,1055,-4.86,-16.59,920
"Fluchtunfälle","insgesamt",2014,"201407",1029,1138,16.93,-9.58,910
"Fluchtunfälle","insgesamt",2014,"201408",802,791,-22.06,1.39,911
"Fluchtunfälle","insgesamt",2014,"201409",936,1000,16.71,-6.4,906
"Fluchtunfälle","insgesamt",2014,"201410",1042,1074,11.32,-2.98,903
"Fluchtunfälle","insgesamt",2014,"201411",943,939,-9.5,0.43,904
"Fluchtunfälle","insgesamt",2014,"201412",830,828,-11.98,0.24,904
"Fluchtunfälle","insgesamt",2013,"201301",796,713,-1.73,11.64,932
"Fluchtunfälle","insgesamt",2013,"201302",773,714,-2.89,8.26,937
"Fluchtunfälle","insgesamt",2013,"201303",906,946,17.21,-4.23,934
"Fluchtunfälle","insgesamt",2013,"201304",1038,919,14.57,12.95,944
"Fluchtunfälle","insgesamt",2013,"201305",848,1035,-18.3,-18.07,928
"Fluchtunfälle","insgesamt",2013,"201306",1055,1041,24.41,1.34,929
